id,fecha,tc,cpi,des,x,res,manofac,m,act_ter,c,fbkf,bc,oil,x_oil,mexbol,ai,tc Indexado,cpi Indexado,des Indexado,x Indexado,res Indexado,manofac Indexado,m Indexado,act_ter Indexado,c Indexado,fbkf Indexado,bc Indexado,oil Indexado,x_oil Indexado,mexbol Indexado,ai Indexado,Der. Num. tc,Der. Num. cpi,Der. Num. des,Der. Num. x,Der. Num. res,Der. Num. manofac,Der. Num. m,Der. Num. act_ter,Der. Num. c,Der. Num. fbkf,Der. Num. bc,Der. Num. oil,Der. Num. x_oil,Der. Num. mexbol,Der. Num. ai,Suav. 0.8 tc,Suav. 0.8 tc,Suav. 0.8 cpi,Suav. 0.8 cpi,Suav. 0.8 des,Suav. 0.8 des,Suav. 0.8 x,Suav. 0.8 x,Suav. 0.8 res,Suav. 0.8 res,Suav. 0.8 manofac,Suav. 0.8 manofac,Suav. 0.8 m,Suav. 0.8 m,Suav. 0.8 act_ter,Suav. 0.8 act_ter,Suav. 0.8 c,Suav. 0.8 c,Suav. 0.8 fbkf,Suav. 0.8 fbkf,Suav. 0.8 bc,Suav. 0.8 bc,Suav. 0.8 oil,Suav. 0.8 oil,Suav. 0.8 x_oil,Suav. 0.8 x_oil,Suav. 0.8 mexbol,Suav. 0.8 mexbol,Suav. 0.8 ai,Suav. 0.8 ai,DN. Suavizada al 0.8 tc,DN. Suavizada al 0.8 cpi,DN. Suavizada al 0.8 des,DN. Suavizada al 0.8 x,DN. Suavizada al 0.8 res,DN. Suavizada al 0.8 manofac,DN. Suavizada al 0.8 m,DN. Suavizada al 0.8 act_ter,DN. Suavizada al 0.8 c,DN. Suavizada al 0.8 fbkf,DN. Suavizada al 0.8 bc,DN. Suavizada al 0.8 oil,DN. Suavizada al 0.8 x_oil,DN. Suavizada al 0.8 mexbol,DN. Suavizada al 0.8 ai,Cambio de signo tc Indexado,Cambio de signo cpi Indexado,Cambio de signo des Indexado,Cambio de signo x Indexado,Cambio de signo res Indexado,Cambio de signo manofac Indexado,Cambio de signo m Indexado,Cambio de signo act_ter Indexado,Cambio de signo c Indexado,Cambio de signo fbkf Indexado,Cambio de signo bc Indexado,Cambio de signo oil Indexado,Cambio de signo x_oil Indexado,Cambio de signo mexbol Indexado,Cambio de signo ai Indexado,Ciclo tc,Ciclo cpi,Ciclo des,Ciclo x,Ciclo res,Ciclo manofac,Ciclo m,Ciclo act_ter,Ciclo c,Ciclo fbkf,Ciclo bc,Ciclo oil,Ciclo x_oil,Ciclo mexbol,Ciclo ai,Cambio de signo tc,Cambio de signo cpi,Cambio de signo des,Cambio de signo x,Cambio de signo res,Cambio de signo manofac,Cambio de signo m,Cambio de signo act_ter,Cambio de signo c,Cambio de signo fbkf,Cambio de signo bc,Cambio de signo oil,Cambio de signo x_oil,Cambio de signo mexbol,Cambio de signo ai
1,01/01/1995,5.6405,17.54271466,6.3,6133911220,4439879886,11.62401415,6489917325,61.42969996,60.08258109,56.0227142,-359.9039526,2680,642.855,2093.98,73.66983712,0.233273228,0.138647614,0.504,0.152680139,0.022652902,0.425933124,0.163489,0.515838781,0.506606151,0.499100971,-0.056417822,0.77568741,0.108373314,0.040889677,0.694831475,,,,,,,,,,,,,,,,0,0.046654646,0,0.027729523,0,0.1008,0,0.030536028,0,0.00453058,0,0.085186625,0,0.0326978,0,0.103167756,0,0.10132123,0,0.099820194,0,-0.011283564,0,0.155137482,0,0.021674663,0,0.008177935,0,0.138966295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,01/02/1995,5.6779,18.28622001,6.3,6324238422,9573737084,13.18166599,5933523167,58.9707139,59.08160462,45.61373401,391.0200271,2647,681.24,1549.84,67.81704919,0.234819974,0.144523856,0.504,0.157417603,0.048846576,0.483009406,0.149472747,0.495190131,0.498166087,0.406368368,0.061295516,0.766136035,0.114844306,0.030264118,0.639629761,,,,,,,,,,,,,,,,0.046654646,0.084287711,0.027729523,0.05108839,0.1008,0.18144,0.030536028,0.055912343,0.00453058,0.01339378,0.085186625,0.164751181,0.0326978,0.056052789,0.103167756,0.181572231,0.10132123,0.180690201,0.099820194,0.161129829,-0.011283564,0.003232252,0.155137482,0.277337192,0.021674663,0.040308591,0.008177935,0.012595172,0.138966295,0.239098988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,01/03/1995,6.777,19.3642127,6.3,6356137224,6940071411,9.713604375,6184540021,58.28792491,58.24409468,44.71873344,172.134111,2670,713.362,1832.83,66.68506656,0.280275271,0.153043696,0.504,0.158211601,0.035409237,0.355930903,0.15579617,0.489456601,0.491104345,0.398394894,0.026983398,0.772793054,0.120259474,0.035790135,0.628953246,0.023501022,0.007198041,0,0.002765731,0.006378167,-0.03500111,-0.003846415,-0.01319109,-0.007750903,-0.050353039,0.04170061,-0.001447178,0.00594308,-0.002549771,-0.032939115,0.084287711,0.123485223,0.05108839,0.071479451,0.18144,0.245952,0.055912343,0.076372195,0.01339378,0.017796871,0.164751181,0.202987125,0.056052789,0.076001466,0.181572231,0.243149105,0.180690201,0.24277303,0.161129829,0.208582842,0.003232252,0.007982481,0.277337192,0.376428365,0.040308591,0.056298768,0.012595172,0.017234165,0.239098988,0.31706984,0.038415289,0.021874964,0.072576,0.022918083,0.006633145,0.05890025,0.021651833,0.069990674,0.0707259,0.054381324,0.009633023,0.110645441,0.017312053,0.004528115,0.089051772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,01/04/1995,6.2285,20.90721961,6.3,6232645248,9004811825,17.5502667,5491749989,57.59015503,58.26394758,44.55921381,741.4016773,2668,715.572,1960.54,65.83960918,0.257591047,0.165238743,0.504,0.155137743,0.045943838,0.643085927,0.138343937,0.483597273,0.491271741,0.396973749,0.116220641,0.772214182,0.120632038,0.038283961,0.620979149,0.011385537,0.010357443,0,-0.00113993,-0.001451369,0.08003826,-0.005564405,-0.005796429,-0.003447173,-0.004697309,0.027462563,0.003039074,0.002893866,0.004009921,-0.009325306,0.123485223,0.150306388,0.071479451,0.090231309,0.245952,0.2975616,0.076372195,0.092125304,0.017796871,0.023426264,0.202987125,0.291006886,0.076001466,0.08846996,0.243149105,0.291238739,0.24277303,0.292472772,0.208582842,0.246261023,0.007982481,0.029630113,0.376428365,0.455585528,0.056298768,0.069165422,0.017234165,0.021444124,0.31706984,0.377851702,0.033009338,0.01957146,0.0580608,0.018106481,0.005016242,0.063127852,0.016208585,0.054833254,0.055891285,0.042565597,0.013198931,0.089124168,0.014428415,0.004424476,0.069376357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,01/05/1995,5.9741,21.78105533,6.4,6583807168,10996038926,17.11391362,5759423230,56.7335544,57.22378288,41.98762972,827.3982043,2681,834.877,1945.13,64.91970707,0.247069868,0.172145042,0.512,0.163878569,0.056103363,0.627096852,0.145086955,0.476404208,0.482501248,0.374063754,0.129701284,0.775976845,0.140744627,0.037983046,0.612302913,-0.016602701,0.009550673,0.004,0.002833484,0.010347063,0.135582975,-0.005354607,-0.006526197,-0.004301548,-0.01216557,0.051358943,0.001591896,0.010242577,0.001096455,-0.008325167,0.150306388,0.169659084,0.090231309,0.106614056,0.2975616,0.34044928,0.092125304,0.106475957,0.023426264,0.029961684,0.291006886,0.358224879,0.08846996,0.099793359,0.291238739,0.328271832,0.292472772,0.330478468,0.246261023,0.271821569,0.029630113,0.049644347,0.455585528,0.519663792,0.069165422,0.083481263,0.021444124,0.024751908,0.377851702,0.424741944,0.02308693,0.017567302,0.04724864,0.015051881,0.006082407,0.077618877,0.011895947,0.042561364,0.043852719,0.031619364,0.020830933,0.071617713,0.013591248,0.003758872,0.053836052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,01/06/1995,6.233,22.47233028,6.5,6544756773,10069591708,18.25968055,5917126505,57.60670071,58.09305814,42.39303051,626.969328,2699,770.069,2196.08,65.09783858,0.257777153,0.177608485,0.52,0.16290656,0.051376497,0.669080636,0.149059695,0.48373621,0.48983083,0.37767543,0.098282455,0.781186686,0.129819212,0.04288341,0.613982995,9.31E-05,0.006184871,0.008,0.003884408,0.00271633,0.012997354,0.005357879,6.95E-05,-0.000720455,-0.009649159,-0.008969093,0.004486252,0.004593587,0.002299725,-0.003498077,0.169659084,0.187282698,0.106614056,0.120812942,0.34044928,0.376359424,0.106475957,0.117762078,0.029961684,0.034244647,0.358224879,0.42039603,0.099793359,0.109646626,0.328271832,0.359364708,0.330478468,0.36234894,0.271821569,0.292992342,0.049644347,0.059371969,0.519663792,0.57196837,0.083481263,0.092748853,0.024751908,0.028378208,0.424741944,0.462590154,0.018488155,0.015290816,0.039398912,0.012818387,0.005409191,0.064694572,0.010588333,0.034062985,0.034938084,0.023365659,0.014870928,0.058191421,0.011791715,0.003467042,0.042369226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,01/07/1995,6.122,22.93045139,6.6,6502990106,14234226600,20.494463,5677117474,57.92775664,58.11199474,43.1030519,826.8298029,2706,736.585,2375.17,65.43836738,0.253186544,0.181229213,0.528,0.161866939,0.07262506,0.750968687,0.143013572,0.486432188,0.4899905,0.384000943,0.129612182,0.783212735,0.124174436,0.046380546,0.617194759,0.003058338,0.004542086,0.008,-0.001005815,0.008260848,0.061935917,-0.001036692,0.00501399,0.003744626,0.004968594,-4.46E-05,0.003617945,-0.008285095,0.00419875,0.002445923,0.187282698,0.200463467,0.120812942,0.132896196,0.376359424,0.406687539,0.117762078,0.12658305,0.034244647,0.041920729,0.42039603,0.486510562,0.109646626,0.116320015,0.359364708,0.384778204,0.36234894,0.387877252,0.292992342,0.311194062,0.059371969,0.073420011,0.57196837,0.614217243,0.092748853,0.099033969,0.028378208,0.031978676,0.462590154,0.493511075,0.015402192,0.01314107,0.03311913,0.010053546,0.005979523,0.064142841,0.008263328,0.028253186,0.028699392,0.019686246,0.011887832,0.047276726,0.007776353,0.003613384,0.034384566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,01/08/1995,6.2047,23.31079997,6.7,6968574066,15829101651,19.22299856,6163109276,57.89796124,58.52642236,42.74004126,805.5218552,2708,806.996,2516.99,65.69770362,0.256606754,0.184235272,0.536,0.173455862,0.080762341,0.704379031,0.155256303,0.486181989,0.493484884,0.380766916,0.126271991,0.783791606,0.136044412,0.049149901,0.619640739,-0.000585199,0.003313393,0.008,0.005274651,0.014692922,0.017649198,0.003098304,0.00122289,0.001827027,0.001545743,0.013994768,0.00130246,0.0031126,0.003133245,0.002828872,0.200463467,0.211692125,0.132896196,0.143164011,0.406687539,0.432550031,0.12658305,0.135957612,0.041920729,0.049689052,0.486510562,0.530084256,0.116320015,0.124107273,0.384778204,0.405058961,0.387877252,0.408998778,0.311194062,0.325108633,0.073420011,0.083990407,0.614217243,0.648132116,0.099033969,0.106436058,0.031978676,0.035412921,0.493511075,0.518737008,0.012204713,0.011175535,0.028095304,0.009097767,0.007722202,0.054844113,0.007230323,0.022847127,0.023324919,0.016058145,0.012309219,0.038081873,0.006843603,0.003517356,0.028073427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,01/09/1995,6.3167,23.79298963,6.9,7050218967,16472866156,22.83702066,6174648451,58.47931694,58.5390345,44.03031644,875.1856417,2739,737.491,2392.2,66.33750575,0.26123872,0.188046224,0.552,0.175488098,0.084046919,0.836805894,0.155546989,0.491063762,0.493591227,0.392261853,0.137192347,0.79276411,0.124327171,0.046713095,0.625675158,0.004026088,0.003408505,0.012,0.006810579,0.00571093,0.042918603,0.006266709,0.002315787,0.001800363,0.004130455,0.003790082,0.004775687,7.64E-05,0.000166275,0.0042402,0.211692125,0.221601444,0.143164011,0.152140454,0.432550031,0.456440025,0.135957612,0.14386371,0.049689052,0.056560625,0.530084256,0.591428583,0.124107273,0.130395216,0.405058961,0.422259921,0.408998778,0.425917268,0.325108633,0.338539277,0.083990407,0.094630795,0.648132116,0.677058515,0.106436058,0.110014281,0.035412921,0.037672956,0.518737008,0.540124638,0.010568988,0.009622129,0.024876243,0.00864033,0.007319948,0.052459011,0.0070376,0.018740859,0.019020008,0.013672607,0.010605392,0.031420636,0.005490156,0.00284714,0.023306781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,01/10/1995,6.7452,24.28254721,7,6702604533,14545814336,20.42684379,6033481328,58.3203251,58.14042947,45.01067926,668.8014061,1899,624.904,2302.01,62.07526614,0.278960124,0.191915408,0.56,0.166835573,0.074214825,0.748490949,0.151990816,0.489728672,0.490230257,0.400995811,0.104839968,0.549638205,0.105347111,0.044951932,0.585475012,0.011176685,0.003840068,0.012,-0.003310145,-0.003273758,0.022055959,-0.001632744,0.001773341,-0.001627313,0.010114448,-0.010716012,-0.1170767,-0.015348651,-0.002098984,-0.017082864,0.221601444,0.23307318,0.152140454,0.160095444,0.456440025,0.47715202,0.14386371,0.148458082,0.056560625,0.060091465,0.591428583,0.622841056,0.130395216,0.134714336,0.422259921,0.435753671,0.425917268,0.438779866,0.338539277,0.351030584,0.094630795,0.09667263,0.677058515,0.651574453,0.110014281,0.109080847,0.037672956,0.039128751,0.540124638,0.549194713,0.010690528,0.008465717,0.022300994,0.006250235,0.005201207,0.0463784,0.005303532,0.015347355,0.014890544,0.012960976,0.006341111,0.001721168,0.001322394,0.001857915,0.015228852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
