N,date,oil_wti,oil_wti Indexada,Der. Num. oil_wti,Suav. 0.8 oil_wti,Suav. 0.8 oil_wti,DN. Suavizada al 0.8 oil_wti,Cambio de signo oil_wti Indexada,Ciclo oil_wti,Cambio de signo oil_wti
1,01/01/1995,18.03952381,0.134743978,,0,0.026948796,,,,
2,01/02/1995,18.57,0.138706304,,0.026948796,0.049300297,,,,
3,01/03/1995,18.53913043,0.138475728,0.001865875,0.049300297,0.067135383,0.020093294,,,
4,01/04/1995,19.89631579,0.148613055,0.004953375,0.067135383,0.083430918,0.01706531,0,1,0
5,01/05/1995,19.74181818,0.147459054,0.004491663,0.083430918,0.096236545,0.014550581,0,1,0
6,01/06/1995,18.44590909,0.137779423,-0.005416816,0.096236545,0.104545121,0.010557101,0,1,0
7,01/07/1995,17.3255,0.129410666,-0.009024194,0.104545121,0.10951823,0.006640842,0,1,0
8,01/08/1995,18.02086957,0.134604643,-0.00158739,0.10951823,0.114535512,0.004995196,0,1,0
9,01/09/1995,18.2255,0.136133104,0.003361219,0.114535512,0.118855031,0.004668401,0,1,0
10,01/10/1995,17.43318182,0.130214982,-0.00219483,0.118855031,0.121127021,0.003295754,0,1,0
11,01/11/1995,17.9925,0.13439274,-0.000870182,0.121127021,0.123780165,0.002462567,0,1,0
12,01/12/1995,19.0265,0.142116074,0.005950546,0.123780165,0.127447347,0.003160163,0,1,0
13,01/01/1996,18.85454545,0.140831681,0.003219471,0.127447347,0.130124213,0.003172024,0,1,0
14,01/02/1996,19.0935,0.142616522,0.000250224,0.130124213,0.132622675,0.002587664,0,1,0
15,01/03/1996,21.33238095,0.159339565,0.009253942,0.132622675,0.137966053,0.00392092,0,1,0
16,01/04/1996,23.49714286,0.175508985,0.016446231,0.137966053,0.145474639,0.006425982,0,1,0
17,01/05/1996,21.16545455,0.158092729,-0.000623418,0.145474639,0.147998257,0.005016102,0,1,0
18,01/06/1996,20.4235,0.152550792,-0.011479096,0.147998257,0.148908764,0.001717062,0,1,0
19,01/07/1996,21.30227273,0.159114675,0.000510973,0.148908764,0.150949946,0.001475845,0,1,0
20,01/08/1996,21.90318182,0.163603091,0.00552615,0.150949946,0.153480575,0.002285906,0,1,0
21,01/09/1996,23.9715,0.179052136,0.00996873,0.153480575,0.158594888,0.003822471,0,1,0
22,01/10/1996,24.87913043,0.185831569,0.011114239,0.158594888,0.164042224,0.005280824,0,1,0
23,01/11/1996,23.705,0.177061548,-0.000995294,0.164042224,0.166646089,0.004025601,0,1,0
24,01/12/1996,25.22857143,0.188441675,0.001305053,0.166646089,0.171005206,0.003481491,0,1,0
25,01/01/1997,25.13181818,0.187718989,0.00532872,0.171005206,0.174347962,0.003850937,0,1,0
26,01/02/1997,22.17631579,0.165643231,-0.011399222,0.174347962,0.172607016,0.000800905,0,1,0
27,01/03/1997,20.965,0.156595459,-0.015561765,0.172607016,0.169404705,-0.002471629,1,1,1
28,01/04/1997,19.69545455,0.147112747,-0.009265242,0.169404705,0.164946313,-0.003830352,0,1,1
29,01/05/1997,20.81904762,0.155505285,-0.000545087,0.164946313,0.163058108,-0.003173299,0,1,1
30,01/06/1997,19.26,0.143860173,-0.001626287,0.163058108,0.159218521,-0.002863896,0,1,1
31,01/07/1997,19.66363636,0.146875085,-0.0043151,0.159218521,0.156749834,-0.003154137,0,1,1
32,01/08/1997,19.95285714,0.149035383,0.002587605,0.156749834,0.155206944,-0.002005789,0,1,1
33,01/09/1997,19.80333333,0.147918534,0.000521725,0.155206944,0.153749262,-0.001500286,0,1,1
34,01/10/1997,21.32521739,0.159286058,0.005125337,0.153749262,0.154856621,-0.000175161,0,1,1
35,01/11/1997,20.19388889,0.15083574,0.001458603,0.154856621,0.154052445,0.000151592,1,1,2
36,01/12/1997,18.33272727,0.136934025,-0.011176016,0.154052445,0.150628761,-0.00211393,1,2,3
37,01/01/1998,16.724,0.124917837,-0.012958952,0.150628761,0.145486576,-0.004282934,0,2,3
38,01/02/1998,16.06,0.119958171,-0.008487927,0.145486576,0.140380895,-0.005123933,0,2,3
39,01/03/1998,15.11545455,0.112903007,-0.006007415,0.140380895,0.134885317,-0.005300629,0,2,3
40,01/04/1998,15.35380952,0.11468337,-0.002637401,0.134885317,0.130844928,-0.004767984,0,2,3
41,01/05/1998,14.914,0.111398267,-0.00075237,0.130844928,0.126955596,-0.003964861,0,2,3
42,01/06/1998,13.72181818,0.102493413,-0.006094978,0.126955596,0.122063159,-0.004390884,0,2,3
43,01/07/1998,14.17272727,0.105861423,-0.002768422,0.122063159,0.118822812,-0.004066392,0,2,3
44,01/08/1998,13.47190476,0.100626716,-0.000933349,0.118822812,0.115183593,-0.003439783,0,2,3
45,01/09/1998,15.03142857,0.112275385,0.003206981,0.115183593,0.114601951,-0.00211043,0,2,3
46,01/10/1998,14.46090909,0.108013961,0.003693622,0.114601951,0.113284353,-0.00094962,0,2,3
47,01/11/1998,13.00210526,0.097117607,-0.007578889,0.113284353,0.110051004,-0.002275474,0,2,3
48,01/12/1998,11.34727273,0.084757042,-0.01162846,0.110051004,0.104992212,-0.004146071,0,2,3
49,01/01/1999,12.51473684,0.09347727,-0.001820169,0.104992212,0.102689223,-0.00368089,0,2,3
50,01/02/1999,12.01368421,0.089734719,0.002488839,0.102689223,0.100098322,-0.002446945,0,2,3
51,01/03/1999,14.67652174,0.109624453,0.008073592,0.100098322,0.102003548,-0.000342837,0,2,3
52,01/04/1999,17.31238095,0.129312675,0.019788978,0.102003548,0.107465374,0.003683526,1,2,4
53,01/05/1999,17.7185,0.132346131,0.011360839,0.107465374,0.112441525,0.005218988,0,2,4
54,01/06/1999,17.92318182,0.133874976,0.002281151,0.112441525,0.116728215,0.004631421,0,2,4
55,01/07/1999,20.10333333,0.150159347,0.008906608,0.116728215,0.123414442,0.005486458,0,2,4
56,01/08/1999,21.27863636,0.158938126,0.012531575,0.123414442,0.130519179,0.006895482,0,2,4
57,01/09/1999,23.79666667,0.17774624,0.013793447,0.130519179,0.139964591,0.008275075,0,2,4
58,01/10/1999,22.69142857,0.169490802,0.005276338,0.139964591,0.145869833,0.007675327,0,2,4
59,01/11/1999,25.00238095,0.186752173,0.004502966,0.145869833,0.154046301,0.007040855,0,2,4
60,01/12/1999,26.10238095,0.194968486,0.012738842,0.154046301,0.162230738,0.008180453,0,2,4
61,01/01/2000,27.25947368,0.203611247,0.008429537,0.162230738,0.17050684,0.008230269,0,2,4
